EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-0] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
257,8453760,9745574,10466804,10374823,10257499,10238294,10169611,10031605,9850425,
258,12059040,9768708,10498648,10459033,10437653,10602443,10736439,10842579,10954732,
259,9945600,9770476,10487587,10433361,10388447,10471074,10499187,10483787,10450166,
260,9696960,9769740,10471774,10396540,10319298,10316251,10258518,10169056,10073563,
261,10567200,9777714,10473682,10405073,10344088,10366440,10351122,10328313,10320381,
262,8329440,9763231,10430797,10301291,10142623,9959040,9744617,9528763,9324910,
263,8826720,9753865,10398715,10227562,10011032,9732576,9469247,9247945,9075815,
264,9821280,9754539,10387166,10207247,9992056,9750316,9574856,9477279,9448547,
265,8205120,9739044,10343525,10107140,9813362,9441276,9163935,8968415,8826833,
266,10691520,9748568,10350484,10136359,9901177,9691324,9622210,9657657,9759176,
267,8205120,9733133,10307576,10039797,9731571,9394083,9197083,9076642,8982148,
268,11561760,9751419,10332659,10115895,9914589,9827618,9906486,10070689,10271954,
269,10318560,9757090,10332377,10126028,9954986,9925806,10030108,10169837,10295257,
270,11810400,9777623,10361937,10210246,10140527,10302724,10564195,10826062,11052828,
271,9696960,9776816,10348637,10184581,10096170,10181571,10304024,10374421,10374894,
272,11561760,9794665,10372899,10253439,10242729,10457608,10681344,10849356,10968327,
273,9696960,9793687,10359380,10225615,10188152,10305478,10386028,10388397,10332643,
274,10940160,9805151,10370995,10261342,10263352,10432414,10552267,10609102,10636401,
275,11064480,9817744,10384864,10301498,10343464,10558827,10705930,10791253,10850440,
276,9945600,9819022,10376078,10283703,10303677,10436181,10477831,10452991,10398020,
277,10940160,9830233,10387359,10316525,10367325,10536976,10616529,10647858,10669090,
278,11188800,9843818,10403387,10360138,10449472,10667340,10788210,10864234,10928945,
279,11188800,9857267,10419095,10401571,10523404,10771632,10908387,10994060,11058872,
280,11561760,9874311,10441948,10459580,10627239,10929657,11104398,11221140,11310316,
281,8329440,9858862,10399697,10353073,10397459,10409613,10271910,10064460,9819878,
282,10691520,9867188,10405533,10369995,10426865,10465994,10397793,10315284,10255699,
283,11064480,9879160,10418711,10404719,10490626,10585691,10597799,10614962,10660089,
284,10815840,9888526,10426653,10425275,10523147,10631720,10663211,10695313,10737964,
285,10442880,9894069,10426977,10426155,10515120,10593952,10597111,10594339,10590422,
286,8578080,9880909,10389999,10333751,10321416,10190777,9991401,9787835,9584251,
287,11064480,9892744,10403488,10370287,10395722,10365517,10313324,10298493,10324365,
288,8578080,9879597,10366979,10280676,10213957,10008029,9792750,9610327,9451222,
289,9821280,9879013,10356065,10257706,10174689,9970679,9801309,9694708,9636251,
290,10442880,9884651,10357801,10266964,10201508,10065119,9993780,9993976,10039565,
291,9199680,9877801,10334638,10213599,10101325,9892031,9755550,9676257,9619622,
292,11561760,9894640,10359180,10281007,10247368,10225976,10297413,10430458,10590691,
293,11188800,9907581,10375772,10326396,10341511,10418540,10564829,10733794,10889745,
294,11313120,9921636,10394518,10375732,10438671,10597456,10789316,10965524,11101432,
295,10442880,9926848,10395485,10379089,10439091,10566540,10685385,10756466,10772156,
296,10194240,9929521,10391460,10369846,10414605,10492080,10538041,10531575,10483198,
297,11437440,9944600,10412379,10423225,10516888,10681152,10807860,10893921,10960319,
298,10069920,9945853,10405529,10405559,10472191,10558905,10586478,10564320,10515119,
299,9452000,9940914,10386458,10357881,10370171,10337524,10246134,10119392,9983559,
300,11554400,9957048,10409816,10417706,10488593,10580899,10638613,10693395,10768979,
301,9082720,9948304,10383274,10350956,10348005,10281263,10171845,10049125,9925849,
302,11188800,9960708,10399384,10392848,10432084,10462770,10476931,10504995,10557324,
303,9324000,9954340,10377876,10339405,10321275,10235016,10131051,10032597,9940662,
304,10691520,9961711,10384148,10357010,10358299,10326316,10299191,10296166,10316091,
305,11437440,9976468,10405213,10411031,10466213,10548540,10640665,10752675,10876765,
306,11934720,9996050,10435803,10487215,10613063,10825776,11028881,11225493,11405742,
307,9448320,9990572,10416053,10435270,10496588,10550284,10554712,10514623,10427031,
308,8826720,9978933,10384266,10354842,10329601,10205571,10036314,9839461,9626875,
309,9945600,9978599,10375492,10334379,10291200,10153576,10009099,9881916,9786237,
